S. No,Crime Head,Cases Pending Investigation from Previous Year,Cases Reported during the year,Cases Reopened for Investigation,Total Cases for Investigation (Col.3+ Col.4+ Col.5),Cases Not Investigated Under 157_1_b CRPC,Cases Transferred to other State or Agency,Cases With-drawn by the Govt during investigation,Final Report - Cases Ended as FR Non Cognizable,Final Report - Cases Ended as Final Report False,Final Report - Cases Ended as Mistake of Fact or of Law or Civil Dispute,Final Report - Cases True but Insufficient Evidence or Untraced or No Clue,Final Report - Cases Abated during Investi-gation,Final Report - Total (Col.10+ Col.11+ Col.12+ Col.13+ Col.14),Chargesheets submitted - Cases Charge-sheeted Out of Cases from Previous Year,Chargesheets submitted - Cases Charge- sheeted Out of Cases during the Year,Chargesheets submitted - Cases Charge-sheeted (Col.16+ Col.17),Total Cases Disposed Off by Police (Col.7+ Col.8+ Col.15+ Col.18),Cases Quashed at Investigation Stage,Cases Stayed at Investigation Stage,Cases Pending Investigation at End of the Year (Col.6- Col.9- Col.19- Col.20),ChargeSheeting Rate (Col.18/ Col.19) *100,Pendency Percentage (Col.22/ Col.6) *100
21,The Information Technology Act,19783,30729,6,50518,0,117,0,17,1211,640,7968,72,9908,2461,3391,5852,15877,34,4,34607,36.9,68.5
22,The Copy Right Act,2370,1801,3,4174,0,1,0,0,47,56,91,1,195,848,1066,1914,2110,2,1,2062,90.7,49.4
23,The Trade Marks Act,138,185,0,323,0,0,0,0,0,0,18,0,18,63,72,135,153,0,0,170,88.2,52.6
Total,Information Technology/Intellectual Property – Related Acts,22291,32715,9,55015,0,118,0,17,1258,696,8077,73,10121,3372,4529,7901,18140,36,5,36839,43.6,67
24,The Lotteries (Regulation) Act,1051,5911,1,6963,0,0,0,0,0,1,1,1,3,290,5106,5396,5399,0,0,1564,99.9,22.5
25,The Chit Funds Acts,160,92,0,252,0,0,0,0,12,3,3,0,18,35,24,59,77,0,0,175,76.6,69.4
26,The Negotiable Instruments Act,35,40,0,75,0,0,0,0,0,0,6,0,6,21,26,47,53,0,0,22,88.7,29.3
27,The Benami Transaction (Prohibition) Act,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
28,The Mines and Minerals (Development and Regulation) Act,7207,20341,0,27548,0,17,0,14,135,102,428,6,685,3429,11574,15003,15705,7,0,11836,95.5,43
29,Prevention of Corruption Act,1342,1266,3,2611,0,11,0,0,22,23,35,3,83,656,330,986,1080,0,0,1531,91.3,58.6
Total,Finance & Economic Acts,9795,27650,4,37449,0,28,0,14,169,129,473,10,795,4431,17060,21491,22314,7,0,15128,96.3,40.4
30,Prohibition Act (State),85652,558620,0,644272,99,315,0,137,35,980,3196,204,4552,67762,485980,553742,558708,4,1,85560,99.1,13.3
31,The Excise Act,32768,288156,12,320936,0,6298,0,1,753,612,1301,9,2676,23398,255488,278886,287860,3,89,33073,96.9,10.3
32,The Narcotic Drugs & Psychotropic Substances Act,28963,72779,3,101745,0,9,0,16,120,293,579,14,1022,15627,52945,68572,69603,180,12,31962,98.5,31.4
32.1,Possession of drugs for Personal use/Consumption,16757,45503,2,62262,0,7,0,0,65,87,191,6,349,7801,35438,43239,43595,4,5,18663,99.2,30
32.2,Possession of drugs for Trafficking,12206,27276,1,39483,0,2,0,16,55,206,388,8,673,7826,17507,25333,26008,176,7,13299,97.4,33.7
Total,Liquor & Narcotic Drugs – Related Acts,147383,919555,15,1066953,99,6622,0,154,908,1885,5076,227,8250,106787,794413,901200,916171,187,102,150595,98.4,14.1
33,The Forest Act & The Forest Conservation Act,940,2112,0,3052,0,14,0,2,18,34,177,0,231,313,1574,1887,2132,0,0,920,88.5,30.1
34,The Wildlife Protection Act,312,618,0,930,0,14,0,0,6,14,68,0,88,147,395,542,644,0,0,286,84.2,30.8
35,The Environmental (Protection) Act,109,487,0,596,0,2,0,0,3,24,45,1,73,29,322,351,426,0,1,170,82.4,28.5
36,The Air & The Water (Prevention & Control of Pollution) Act,14,160,0,174,0,0,0,0,0,9,0,0,9,1,145,146,155,0,0,19,94.2,10.9
37,The Cigarette and Other Tobacco Products Act,4740,22667,0,27407,0,0,0,1,2,0,8,0,11,1703,20149,21852,21863,0,0,5544,99.9,20.2
38,Noise Pollution Acts,152,8537,0,8689,0,0,0,0,1,1,6,0,8,55,8462,8517,8525,0,0,164,99.9,1.9
39,The National Green Tribunal Act,30,90,0,120,0,0,0,0,0,8,6,0,14,6,39,45,59,0,0,61,76.3,50.8
Total,Environment & Pollution– Related Acts,6297,34671,0,40968,0,30,0,3,30,90,310,1,434,2254,31086,33340,33804,0,1,7164,98.6,17.5
40,The Registration of Foreigners Act & The Foreigners Act,446,1321,0,1767,0,2,0,0,4,17,25,5,51,397,777,1174,1227,1,0,539,95.7,30.5
41,The Passport Act,1646,728,1,2375,0,0,0,0,2,6,43,0,51,277,319,596,647,0,0,1728,92.1,72.8
42,The Emigration Act,136,164,0,300,0,0,0,0,2,8,10,0,20,61,23,84,104,0,0,196,80.8,65.3
43,The Citizenship Act,24,6,0,30,0,0,0,0,0,0,12,0,12,0,5,5,17,0,0,13,29.4,43.3
Total,Foreigner & Passport – Related Acts,2252,2219,1,4472,0,2,0,0,8,31,90,5,134,735,1124,1859,1995,1,0,2476,93.2,55.4
44,The Indian Railways Act,128,142,0,270,0,1,0,0,2,4,88,0,94,9,47,56,151,0,0,119,37.1,44.1
45,The Railway Property (Unlawful Possession) Act,0,3,0,3,0,0,0,0,0,0,1,0,1,0,2,2,3,0,0,0,66.7,0
Total,Railways – Related Acts,128,145,0,273,0,1,0,0,2,4,89,0,95,9,49,58,154,0,0,119,37.7,43.6
46,The Indian Telegraph Act,18,36,0,54,0,0,0,0,1,0,8,0,9,4,18,22,31,0,0,23,71,42.6
47,The Telegraph Wire (Unlawful Possession) Act,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-,100
48,The Cinematograph Act,1,3,0,4,0,0,0,0,0,0,0,0,0,1,2,3,3,0,0,1,100,25
49,The Cable Television Networks (Regulation) Act,4,7,0,11,0,0,0,0,1,0,3,0,4,0,4,4,8,0,0,3,50,27.3
Total,Telegraph/Cinematograph Acts,23,48,0,71,0,0,0,0,2,0,11,0,13,5,24,29,42,0,0,29,69,40.8
50,The Essential Commodities Act,3410,3435,0,6845,0,5,0,1,56,51,227,3,338,1707,1893,3600,3943,7,7,2895,91.3,42.3
51,The Prevention of Food Adulteration Act,12,50,0,62,0,0,0,0,0,0,0,0,0,3,31,34,34,0,0,28,100,45.2
52,The Food Safety & Standards Act,151,362,0,513,0,1,0,0,0,0,7,0,7,83,161,244,252,13,1,248,96.8,48.3
Total,"Food, Drugs and Essential Commodities Acts",3573,3847,0,7420,0,6,0,1,56,51,234,3,345,1793,2085,3878,4229,20,8,3171,91.7,42.7
53,MACOCA/Control of Organised Crimes ,52,52,0,104,0,0,0,0,0,0,0,0,0,27,17,44,44,0,0,60,100,57.7
54,The Gambling Act,15651,156442,1,172094,0,5,0,0,5,22,145,25,197,13003,144998,158001,158203,6,1,13885,99.9,8.1
55,The Electricity Act,73245,132722,1,205968,10,15,0,173,490,5810,71761,449,78683,11652,68567,80219,158927,22,0,47019,50.5,22.8
56,The Antiques and Art Treasures Act,33,42,0,75,0,0,0,0,1,0,2,0,3,10,11,21,24,0,0,51,87.5,68
57,The Representation of the People Act,264,713,0,977,0,0,0,0,23,31,65,2,121,108,385,493,614,2,0,361,80.3,36.9
58,The Bonded Labour System (Abolition) Act,208,1155,5,1368,0,1,0,2,47,28,109,0,186,70,730,800,987,1,3,380,81.1,27.8
58.1,Against SC,143,775,5,923,0,0,0,2,21,25,108,0,156,52,580,632,788,1,3,134,80.2,14.5
58.2,Against ST,23,332,0,355,0,1,0,0,16,1,1,0,18,2,132,134,153,0,0,202,87.6,56.9
58.3,Against others,42,48,0,90,0,0,0,0,10,2,0,0,12,16,18,34,46,0,0,44,73.9,48.9
59,The Prevention of Insults to National Honour Act,54,55,0,109,0,0,0,0,3,5,6,1,15,10,34,44,59,0,0,50,74.6,45.9
60,Defacement of Public Property Acts,2174,4945,0,7119,0,0,0,0,22,74,332,1,429,463,3480,3943,4372,0,0,2747,90.2,38.6
61,The Transplantation of Human Organs Act,2,1,0,3,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,100,66.7
62,The Mental Health Act,79,487,0,566,0,0,0,0,64,162,213,44,483,6,3,9,492,0,0,74,1.8,13.1
63,Motor Vehicle Act,3553,203540,0,207093,0,0,0,1,0,2,32,8,43,22979,181000,203979,204022,0,6,3071,100,1.5
64,City/Town Police Acts,14404,84610,0,99014,0,0,0,0,1,11,364,1,377,4956,68689,73645,74022,1,0,24991,99.5,25.2
65,Other State Local Acts,13022,89627,13,102662,0,21,0,29,82,593,641,23,1368,8346,76294,84640,86029,7,28,16626,98.4,16.2
Total,Other Regulatory & Enforcement – Acts,122741,674391,20,797152,10,42,0,205,738,6738,73670,554,81905,61630,544209,605839,687796,39,38,109317,88.1,13.7
66,Other SLL Crimes,35895,79816,3,115714,42,180,125,237,1620,1654,3937,142,7590,11603,59471,71074,78886,9,7,36694,90.1,31.7
Grand Total,Total Cognizable SLL Crimes,407133,1930471,151,2337755,154,7211,128,703,7182,14278,97546,1144,120853,215256,1572291,1787547,1915765,620,264,421242,93.3,18
