Si. No. (Col. 1),Crime Head (Col. 2),Cases Pending Investigation from Previous Year - (Col. 3),Cases Reported during the year - (Col. 4),Cases Reopened for Investigation - (Col. 5),Total Cases for Investigation (Col.3+ Col.4+ Col.5) - (Col. 6),Cases Not Investigated Under 157_1_b CRPC - (Col. 7),Cases Transferred to Other State or Agency - (Col. 8),Cases Withdrawn by the Govt during Investigation - (Col. 9),Final Report - Cases Ended as FR Non Cognizable - (Col. 10),Final Report - Cases Ended as Final Report False - (Col. 11),Final Report - Cases Ended as Mstake of Fact or of law or Civil Dispute - (Col. 12),Final Report - Cases True but Insuficient Evidnce or Untraced or No Clue - (Col. 13),Final Report - Cases Abated during Investigation - (Col. 14),Final Report - Total (Col.10+ Col.11+ Col.12+ Col13+ Col.14) - (Col. 15),Charge Sheets Submitted - Cases ChargeSheeted Out of cases frm prv. Year - (Col. 16),Charge Sheets Submitted - Cases Chargesheeted Out of Cases during the year - (Col. 17),Charge Sheets Submitted - Cases Chargesheeted (Col.16+ Col.17) - (Col. 18),Total Cases Disposed Off by Police (Col.7+8+15+18) - (Col. 19),Cases Quashed at Investigation Stage - (Col. 20),Cases Stayed at Investigation Stage - (Col. 21),Cases Pending Invsgn.at end of the year (Cols. 6-9- 19-20) - (Col. 22),Chargesheeting Rate (Col.18/19*100) - (Col. 23),Pendency Percentage (Col.22/6*100) - (Col. 24)
Arms/Explosive - Related Acts,Arms/Explosive - Related Acts,17687,72696,1,90384,0,7,0,10,56,151,1016,59,1292,6774,62571,69345,70644,4,3,19736,98.2,21.8
21,The Information Technology Act,34733,29643,796,65172,46,71,9,37,392,723,8198,93,9443,2736,6458,9194,18754,10,4,46399,49,71.2
22,The Copy Right Act,2091,1255,1,3347,0,3,0,0,40,28,124,0,192,434,595,1029,1224,0,1,2123,84.1,63.4
23,The Trade Marks Act,168,131,0,299,0,0,0,0,3,2,42,1,48,49,47,96,144,0,0,155,66.7,51.8
Information Technology/Intellectual Property – Related Acts,Information Technology/Intellectual Property – Related Acts,36992,31029,797,68818,46,74,9,37,435,753,8364,94,9683,3219,7100,10319,20122,10,5,48677,51.3,70.7
24,The Lotteries (Regulation) Act,1566,5773,0,7339,0,0,0,0,0,5,2,0,7,581,4462,5043,5050,0,0,2289,99.9,31.2
25,The Chit Funds Acts,175,43,0,218,0,1,0,0,10,1,4,0,15,23,11,34,50,1,1,167,68,76.6
26,The Negotiable Instruments Act,28,25,0,53,0,0,0,0,0,0,3,0,3,12,13,25,28,0,0,25,89.3,47.2
27,The Benami Transaction (Prohibition) Act,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,100
28,The Mines and Minerals (Development and Regulation) Act,11858,20218,0,32076,0,1,0,1,127,105,361,17,611,5066,8579,13645,14257,0,3,17819,95.7,55.6
29,Prevention of Corruption Act,1530,982,1,2513,0,12,0,0,28,8,46,2,84,559,174,733,829,0,0,1684,88.4,67
Finance & Economic Acts,Finance & Economic Acts,15157,27042,1,42200,0,14,0,1,165,119,416,19,720,6241,13239,19480,20214,1,4,21985,96.4,52.1
30,Prohibition Act (State),85560,562215,81,647856,295,330,0,0,38,1052,3149,176,4415,52694,470155,522849,527889,1,16,119966,99,18.5
31,The Excise Act,34269,309247,2,343518,4,4444,0,0,230,245,1494,396,2365,22396,257372,279768,286581,1,7,56936,97.6,16.6
32,The Narcotic Drugs & Psychotropic Substances Act,32230,59806,6,92042,0,16,1,2,158,117,640,20,937,14655,39369,54024,54977,0,0,37064,98.3,40.3
32.1,Possession of drugs for Personal use/Consumption,18888,33246,0,52134,0,2,1,0,69,35,157,13,274,7117,22897,30014,30290,0,0,21843,99.1,41.9
32.2,Possession of drugs for Trafficking,13342,26560,6,39908,0,14,0,2,89,82,483,7,663,7538,16472,24010,24687,0,0,15221,97.3,38.1
Liquor & Narcotic Drugs – Related Acts,Liquor & Narcotic Drugs – Related Acts,152059,931268,89,1083416,299,4790,1,2,426,1414,5283,592,7717,89745,766896,856641,869447,2,23,213966,98.5,19.7
33,The Forest Act & The Forest Conservation Act,922,2287,0,3209,0,12,0,0,19,39,184,1,243,268,1723,1991,2246,0,0,963,88.6,30
34,The Wildlife Protection Act,278,672,0,950,0,10,0,0,6,19,70,1,96,94,413,507,613,0,0,337,82.7,35.5
35,The Environmental (Protection) Act,169,992,0,1161,0,0,0,1,0,19,62,4,86,55,783,838,924,0,0,237,90.7,20.4
36,The Air & The Water (Prevention & Control of Pollution) Act,19,589,0,608,0,0,0,0,1,0,68,0,69,7,510,517,586,0,0,22,88.2,3.6
37,The Cigarette and Other Tobacco Products Act,5541,49710,0,55251,0,0,0,0,1,8,8,1,18,1177,40644,41821,41839,11,2,13401,100,24.3
38,Noise Pollution Acts,164,7318,0,7482,0,0,0,1,0,0,20,0,21,92,7247,7339,7360,0,0,122,99.7,1.6
39,The National Green Tribunal Act,61,199,0,260,0,0,0,0,0,9,47,0,56,16,109,125,181,0,0,79,69.1,30.4
Environment & Pollution– Related Acts,Environment & Pollution– Related Acts,7154,61767,0,68921,0,22,0,2,27,94,459,7,589,1709,51429,53138,53749,11,2,15161,98.9,22
40,The Registration of Foreigners Act & The Foreigners Act,557,1098,0,1655,0,0,0,0,4,34,11,1,50,164,909,1073,1123,9,0,523,95.5,31.6
41,The Passport Act,1729,380,0,2109,0,0,0,1,8,8,20,1,38,202,194,396,434,0,0,1675,91.2,79.4
42,The Emigration Act,196,146,0,342,0,0,0,0,3,5,5,0,13,13,16,29,42,0,0,300,69,87.7
43,The Citizenship Act,8,1,0,9,0,0,0,0,0,0,2,0,2,2,1,3,5,0,0,4,60,44.4
Foreigner & Passport – Related Acts,Foreigner & Passport – Related Acts,2490,1625,0,4115,0,0,0,1,15,47,38,2,103,381,1120,1501,1604,9,0,2502,93.6,60.8
44,The Indian Railways Act,119,88,0,207,0,0,0,0,2,3,91,0,96,10,30,40,136,0,0,71,29.4,34.3
45,The Railway Property (Unlawful Possession) Act,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,100
Railways – Related Acts,Railways – Related Acts,119,90,0,209,0,0,0,0,2,3,91,0,96,10,30,40,136,0,0,73,29.4,34.9
46,The Indian Telegraph Act,23,30,0,53,0,0,0,0,1,0,12,0,13,3,10,13,26,0,0,27,50,50.9
47,The Telegraph Wire (Unlawful Possession) Act,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,100,50
48,The Cinematograph Act,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,NA,100
49,The Cable Television Networks (Regulation) Act,3,2,0,5,0,0,0,0,1,0,1,0,2,0,0,0,2,0,0,3,0,60
Telegraph/Cinematograph Acts,Telegraph/Cinematograph Acts,29,34,0,63,0,0,0,0,2,0,13,0,15,4,10,14,29,0,0,34,48.3,54
50,The Essential Commodities Act,2867,6244,3,9114,0,6,0,1,75,90,209,16,391,1305,3329,4634,5031,3,7,4080,92.1,44.8
51,The Prevention of Food Adulteration Act,28,65,0,93,0,0,0,0,0,4,0,0,4,13,36,49,53,0,0,40,92.5,43
52,The Food Safety & Standards Act,248,625,0,873,0,2,0,0,0,3,7,0,10,156,252,408,420,1,0,452,97.1,51.8
"Food, Drugs and Essential Commodities Acts","Food, Drugs and Essential Commodities Acts",3143,6934,3,10080,0,8,0,1,75,97,216,16,405,1474,3617,5091,5504,4,7,4572,92.5,45.4
53,MACOCA/Control of Organised Crimes,60,82,0,142,0,0,0,0,0,1,0,0,1,30,28,58,59,0,0,83,98.3,58.5
54,The Gambling Act,13872,155367,4,169243,0,0,0,0,17,24,138,101,280,10886,139775,150661,150941,1,22,18301,99.8,10.8
55,The Electricity Act,47131,111801,0,158932,378,16,0,42,136,6075,62300,3309,71862,5280,16973,22253,94509,2,0,64421,23.5,40.5
56,The Antiques and Art Treasures Act,51,21,0,72,0,0,0,0,0,0,9,0,9,9,9,18,27,0,0,45,66.7,62.5
57,The Representation of the People Act,347,74,0,421,0,2,0,0,9,10,19,0,38,72,28,100,140,1,0,280,71.4,66.5
58,The Bonded Labour System (Abolition) Act,379,1231,0,1610,0,0,0,26,41,10,108,32,217,179,872,1051,1268,0,3,342,82.9,21.2
58.1,Against SC,134,1117,0,1251,0,0,0,26,36,8,103,32,205,7,837,844,1049,0,3,202,80.5,16.1
58.2,Against ST,201,34,0,235,0,0,0,0,3,0,2,0,5,155,16,171,176,0,0,59,97.2,25.1
58.3,Against others,44,80,0,124,0,0,0,0,2,2,3,0,7,17,19,36,43,0,0,81,83.7,65.3
59,The Prevention of Insults to National Honour Act,50,46,0,96,0,0,0,1,2,4,7,0,14,11,19,30,44,0,0,52,68.2,54.2
60,Defacement of Public Property Acts,2747,2000,0,4747,0,0,0,0,2,24,196,1,223,680,1403,2083,2306,0,0,2441,90.3,51.4
61,The Transplantation of Human Organs Act,2,1,0,3,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,100,66.7
62,Transgender Persons (Protection of Rights) Act,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,100
63,The Mental Health Act,74,292,0,366,0,0,0,0,95,29,82,29,235,3,22,25,260,0,0,106,9.6,29
64,Motor Vehicle Act,3071,55707,0,58778,0,0,0,0,11,11,404,2,428,3026,45824,48850,49278,0,0,9500,99.1,16.2
65,City/Town Police Acts,24991,62877,0,87868,0,0,0,2,0,8,11,5,26,3903,36977,40880,40906,0,0,46962,99.9,53.4
66,Other State Local Acts,16483,414589,0,431072,9,6,0,5,125,1118,1089,101,2438,6672,392521,399193,401646,8,7,29418,99.4,6.8
Other Regulatory & Enforcement – Acts,Other Regulatory & Enforcement – Acts,109258,804089,4,913351,387,24,0,76,438,7314,64363,3580,75771,30751,634452,665203,741385,12,32,171954,89.7,18.8
67,Other SLL Crimes,36490,337922,0,374412,0,26,14,118,596,1116,18309,92,20231,11480,187832,199312,219569,11,4,154818,90.8,41.3
Total Cognizable SLL Crimes,Total Cognizable SLL Crimes,422915,2346929,985,2770829,734,5142,26,394,4063,12457,101937,4530,123381,168313,1776641,1944954,2074211,101,134,696491,93.8,25.1
